               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
99,0.027303,0.0074464,0.0021222,0.0368716,0.6926,0.65933,0.66761,0.26536,0.03303,0.008332,0.0061175,0.00559,0.00559,0.00559
100,0.028077,0.0075161,0.0021118,0.0377049,0.68714,0.66681,0.67309,0.2746,0.033257,0.0081168,0.0032598,0.005545,0.005545,0.005545
101,0.027178,0.0073918,0.0017993,0.0363691,0.69489,0.61657,0.63576,0.2685,0.034233,0.0081631,0.0036718,0.0055,0.0055,0.0055
102,0.026584,0.0075651,0.0019633,0.0361124,0.65559,0.64491,0.65307,0.30993,0.032088,0.0083109,0.0031535,0.005455,0.005455,0.005455
103,0.026482,0.0074104,0.0019381,0.0358305,0.86776,0.46932,0.65017,0.27912,0.0335,0.0081573,0.005986,0.00541,0.00541,0.00541
104,0.026499,0.0072617,0.0018684,0.0356291,0.57103,0.4743,0.54648,0.21872,0.034871,0.0089604,0.00471,0.005365,0.005365,0.005365
105,0.026346,0.0072242,0.0020796,0.0356498,0.61965,0.55795,0.61112,0.25509,0.032649,0.0082405,0.0041405,0.00532,0.00532,0.00532
106,0.026186,0.0070919,0.0014881,0.034766,0.40096,0.46636,0.52967,0.22282,0.034295,0.0086827,0.0058751,0.005275,0.005275,0.005275
107,0.025967,0.0075978,0.0017704,0.0353352,0.52067,0.61709,0.65742,0.33729,0.031589,0.0084767,0.0061029,0.00523,0.00523,0.00523
108,0.026736,0.0074075,0.002094,0.0362375,0.65295,0.6411,0.67641,0.32592,0.033388,0.008463,0.0024552,0.005185,0.005185,0.005185
109,0.025898,0.0071745,0.0018051,0.0348776,0.76075,0.55686,0.58821,0.24747,0.030688,0.0084688,0.004053,0.00514,0.00514,0.00514
110,0.025718,0.0073755,0.0016941,0.0347876,0.58718,0.67309,0.64934,0.25081,0.032962,0.0079508,0.0062647,0.005095,0.005095,0.005095
111,0.026006,0.0072598,0.0018593,0.0351251,0.64307,0.60836,0.63685,0.29291,0.033414,0.008153,0.005415,0.00505,0.00505,0.00505
112,0.026639,0.0071873,0.0022077,0.036034,0.7263,0.68627,0.71457,0.31869,0.03276,0.0080694,0.0059553,0.005005,0.005005,0.005005
113,0.026284,0.00742,0.0019391,0.0356431,0.77416,0.50453,0.68591,0.30211,0.032368,0.0080449,0.0050828,0.00496,0.00496,0.00496
114,0.02526,0.0070064,0.0018341,0.0341005,0.77967,0.47765,0.63886,0.27997,0.032241,0.0085604,0.0073179,0.004915,0.004915,0.004915
115,0.027101,0.0070787,0.0022096,0.0363893,0.62718,0.64804,0.70311,0.32672,0.031274,0.0081542,0.0067249,0.00487,0.00487,0.00487
116,0.025198,0.0070111,0.0016502,0.0338593,0.75855,0.72238,0.74104,0.34813,0.031292,0.0077086,0.0053913,0.004825,0.004825,0.004825
117,0.025492,0.0067928,0.0015046,0.0337894,0.66046,0.64832,0.6671,0.31396,0.031403,0.0088492,0.0075016,0.00478,0.00478,0.00478
